allocation	cells_per_role	pattern	mean_utility_improvement	improved_tasks	ties	worse_tasks
8	256	P	0.018524756919929046	50	0	5
8	256	O	0.01863266368352739	50	0	5
8	256	D	0.018578710301728217	50	0	5
8	512	S	0.018139358125473775	50	0	5
8	512	M	0.018139358125473775	50	0	5
8	512	P	0.01813183120515546	50	0	5
8	512	O	0.018146885045792094	50	0	5
8	512	D	0.01813935812547377	50	0	5
8	1024	S	0.01840465293993957	50	0	5
8	1024	M	0.01840465293993957	50	0	5
8	1024	P	0.01838155219380631	50	0	5
8	1024	O	0.018427753686072836	50	0	5
8	1024	D	0.01840465293993957	50	0	5
8	1080	S	0.0184591106584135	50	0	5
8	1080	M	0.0184591106584135	50	0	5
8	1080	P	0.01844345101393745	50	0	5
8	1080	O	0.018474770302889555	50	0	5
8	1080	D	0.018459110658413498	50	0	5
9	64	S	0.01814363070977383	50	0	5
9	64	M	0.01814363070977383	50	0	5
9	64	P	0.017740744615492902	50	0	5
9	64	O	0.018546516804054756	51	0	4
9	64	D	0.01814363070977383	50	0	5
9	128	S	0.017405889326930914	50	0	5
9	128	M	0.017405889326930917	50	0	5
9	128	P	0.017207765655240456	50	0	5
9	128	O	0.017604012998621382	50	0	5
9	128	D	0.017405889326930914	50	0	5
9	256	S	0.017746767240851516	50	0	5
9	256	M	0.017746767240851512	50	0	5
9	256	P	0.017674758045421735	50	0	5
9	256	O	0.017818776436281287	50	0	5
9	256	D	0.017746767240851512	50	0	5
9	512	S	0.018580098057117918	50	0	5
9	512	M	0.018580098057117918	50	0	5
9	512	P	0.018543318990301517	50	0	5
9	512	O	0.018616877123934315	50	0	5
9	512	D	0.018580098057117918	50	0	5
9	1024	S	0.018560725580741917	50	0	5
9	1024	M	0.018560725580741917	50	0	5
9	1024	P	0.01853800013902501	50	0	5
9	1024	O	0.018583451022458824	50	0	5
9	1024	D	0.018560725580741917	50	0	5
9	1080	S	0.018541363902705818	50	0	5
9	1080	M	0.018541363902705818	50	0	5
9	1080	P	0.01851967687715061	50	0	5
9	1080	O	0.018563050928261025	50	0	5
9	1080	D	0.01854136390270582	50	0	5
10	64	S	0.01804656960120481	50	0	5
