task_index	task	depth	allocation	model	view	Cobs	Cpred	Cmodel	standardized_MSE	raw_RMSE	perturbation_centred_Pearson	centroid_accuracy
0	BAK1+KLF1	8	0	additive	roles	1	1	1	0.0058304618726721545	0.03365381649945048	0.9526325484441007	1.0
0	BAK1+KLF1	8	0	additive	roles	1	1	2	0.0058304618726721545	0.03365381649945048	0.9526325484441007	1.0
0	BAK1+KLF1	8	0	additive	roles	1	2	0	0.03463448728608136	0.0807173655599855	0.779178991619787	1.0
0	BAK1+KLF1	8	0	additive	roles	1	2	1	0.03463448728608136	0.0807173655599855	0.779178991619787	1.0
0	BAK1+KLF1	8	0	additive	roles	1	2	2	0.03463448728608136	0.0807173655599855	0.779178991619787	1.0
0	BAK1+KLF1	8	0	additive	roles	2	0	0	0.03515219629847379	0.08151297964078728	0.8014206756753373	1.0
0	BAK1+KLF1	8	0	additive	roles	2	0	1	0.03515219629847379	0.08151297964078728	0.8014206756753373	1.0
0	BAK1+KLF1	8	0	additive	roles	2	0	2	0.03515219629847379	0.08151297964078728	0.8014206756753373	1.0
0	BAK1+KLF1	8	0	additive	roles	2	1	0	0.0324668366948634	0.07802383210938035	0.8115012653529593	1.0
0	BAK1+KLF1	8	0	additive	roles	2	1	1	0.0324668366948634	0.07802383210938035	0.8115012653529593	1.0
0	BAK1+KLF1	8	0	additive	roles	2	1	2	0.0324668366948634	0.07802383210938035	0.8115012653529593	1.0
0	BAK1+KLF1	8	0	additive	roles	2	2	0	0.0058304618726721545	0.03365381649945048	0.9526325484441007	1.0
0	BAK1+KLF1	8	0	additive	roles	2	2	1	0.0058304618726721545	0.03365381649945048	0.9526325484441007	1.0
0	BAK1+KLF1	8	0	additive	roles	2	2	2	0.0058304618726721545	0.03365381649945048	0.9526325484441007	1.0
0	BAK1+KLF1	8	0	additive	direct_state	unused	unused	0	0.0058304618726721545	0.03365381649945048	0.9526325484441007	1.0
0	BAK1+KLF1	8	0	additive	direct_state	unused	unused	1	0.0058304618726721545	0.03365381649945048	0.9526325484441007	1.0
0	BAK1+KLF1	8	0	additive	direct_state	unused	unused	2	0.0058304618726721545	0.03365381649945048	0.9526325484441007	1.0
0	BAK1+KLF1	8	0	compositional_ridge	roles	0	0	0	0.006043151830994505	0.034773074839558445	0.9435300266021269	1.0
0	BAK1+KLF1	8	0	compositional_ridge	roles	0	0	1	0.006043151830994505	0.034773074839558445	0.9435300266021269	1.0
0	BAK1+KLF1	8	0	compositional_ridge	roles	0	0	2	0.006043151830994505	0.034773074839558445	0.9435300266021269	1.0
0	BAK1+KLF1	8	0	compositional_ridge	roles	0	1	0	0.03362030961430236	0.08001136859393466	0.7194009923057239	1.0
0	BAK1+KLF1	8	0	compositional_ridge	roles	0	1	1	0.03362030961430236	0.08001136859393466	0.7194009923057239	1.0
0	BAK1+KLF1	8	0	compositional_ridge	roles	0	1	2	0.03362030961430236	0.08001136859393466	0.7194009923057239	1.0
0	BAK1+KLF1	8	0	compositional_ridge	roles	0	2	0	0.035597559703938145	0.08204092446412659	0.6957574287151702	1.0
0	BAK1+KLF1	8	0	compositional_ridge	roles	0	2	1	0.035597559703938145	0.08204092446412659	0.6957574287151702	1.0
0	BAK1+KLF1	8	0	compositional_ridge	roles	0	2	2	0.035597559703938145	0.08204092446412659	0.6957574287151702	1.0
