dataset	regime	reference_depth	family	readout	root_index	value
parse	common48	48	scGen	reference	5	0.18726647727376414
parse	common48	48	scGen	reference	6	0.18288274708271757
parse	common48	48	scGen	reference	7	0.18629664812208066
parse	common48	48	scGen	D_to_O	0	0.0025219395048368207
parse	common48	48	scGen	D_to_O	1	0.0021603265476032784
parse	common48	48	scGen	D_to_O	2	0.0022273040956894193
parse	common48	48	scGen	D_to_O	3	0.0022185052497967453
parse	common48	48	scGen	D_to_O	4	0.0024374751896213947
parse	common48	48	scGen	D_to_O	5	0.002606607937987162
parse	common48	48	scGen	D_to_O	6	0.0025379004748452127
parse	common48	48	scGen	D_to_O	7	0.002180859115489096
parse	common48	48	scGen	D_to_P	0	-0.0025219395048492054
parse	common48	48	scGen	D_to_P	1	-0.0021603265475305775
parse	common48	48	scGen	D_to_P	2	-0.0022273040958350914
parse	common48	48	scGen	D_to_P	3	-0.002218505249725516
parse	common48	48	scGen	D_to_P	4	-0.0024374751895648254
parse	common48	48	scGen	D_to_P	5	-0.0026066079379914744
parse	common48	48	scGen	D_to_P	6	-0.002537900474834353
parse	common48	48	scGen	D_to_P	7	-0.0021808591155716615
parse	common48	48	scGen	S_to_M	0	-1.4851065978834415e-14
parse	common48	48	scGen	S_to_M	1	-3.436899376207947e-14
parse	common48	48	scGen	S_to_M	2	1.2454023229357957e-13
parse	common48	48	scGen	S_to_M	3	-9.388919271676362e-14
parse	common48	48	scGen	S_to_M	4	-6.089537670413609e-14
parse	common48	48	scGen	S_to_M	5	2.0165929111766923e-15
parse	common48	48	scGen	S_to_M	6	-8.721352922254807e-15
parse	common48	48	scGen	S_to_M	7	8.680573042781542e-14
parse	common48	48	CPA	raw_state	0	0.05359591009078784
parse	common48	48	CPA	raw_state	1	0.048431059656604186
parse	common48	48	CPA	raw_state	2	0.05136049927435951
parse	common48	48	CPA	raw_state	3	0.051191182816106275
parse	common48	48	CPA	raw_state	4	0.05133614463466791
parse	common48	48	CPA	raw_state	5	0.053069869427526534
parse	common48	48	CPA	raw_state	6	0.05216406277079545
parse	common48	48	CPA	raw_state	7	0.04974121326159476
parse	common48	48	CPA	input_centered_effect	0	0.17750595179716647
parse	common48	48	CPA	input_centered_effect	1	0.18672152605253356
parse	common48	48	CPA	input_centered_effect	2	0.1783587767292556
parse	common48	48	CPA	input_centered_effect	3	0.17794046699719002
parse	common48	48	CPA	input_centered_effect	4	0.18569373554748544
parse	common48	48	CPA	input_centered_effect	5	0.18486067054623276
parse	common48	48	CPA	input_centered_effect	6	0.18050143274418237
parse	common48	48	CPA	input_centered_effect	7	0.18471048290322722
parse	common48	48	CPA	reference	0	0.18015913714842088
parse	common48	48	CPA	reference	1	0.1880274111763369
parse	common48	48	CPA	reference	2	0.18035242758737655
parse	common48	48	CPA	reference	3	0.17999923333013756
parse	common48	48	CPA	reference	4	0.1872899039794497
parse	common48	48	CPA	reference	5	0.18726647727376414
parse	common48	48	CPA	reference	6	0.18288274708271757
parse	common48	48	CPA	reference	7	0.18629664812208066
parse	common48	48	CPA	D_to_O	0	0.0019107366761417822
parse	common48	48	CPA	D_to_O	1	0.001417473301506252
parse	common48	48	CPA	D_to_O	2	0.0016765228927411654
parse	common48	48	CPA	D_to_O	3	0.0016787257010838226
parse	common48	48	CPA	D_to_O	4	0.0016153722278231559
parse	common48	48	CPA	D_to_O	5	0.001855838519174477
parse	common48	48	CPA	D_to_O	6	0.0017932107014091408
parse	common48	48	CPA	D_to_O	7	0.0015313334515579683
parse	common48	48	CPA	D_to_P	0	-0.001910736676297583
parse	common48	48	CPA	D_to_P	1	-0.0014174733012487113
parse	common48	48	CPA	D_to_P	2	-0.0016765228927200198
parse	common48	48	CPA	D_to_P	3	-0.0016787257008533017
parse	common48	48	CPA	D_to_P	4	-0.0016153722281157781
parse	common48	48	CPA	D_to_P	5	-0.001855838518977807
parse	common48	48	CPA	D_to_P	6	-0.001793210701487128
parse	common48	48	CPA	D_to_P	7	-0.0015313334513319253
parse	common48	48	CPA	S_to_M	0	1.637549262856197e-13
parse	common48	48	CPA	S_to_M	1	-2.1122718389203024e-13
parse	common48	48	CPA	S_to_M	2	-6.191641643837897e-14
parse	common48	48	CPA	S_to_M	3	-2.2834727627281854e-13
parse	common48	48	CPA	S_to_M	4	2.829989946088555e-13
parse	common48	48	CPA	S_to_M	5	-2.5177862572611784e-13
parse	common48	48	CPA	S_to_M	6	1.1038921628644024e-13
parse	common48	48	CPA	S_to_M	7	-1.235019031486928e-13
parse	common48	48	CellOT	raw_state	0	0.05370376180506324
parse	common48	48	CellOT	raw_state	1	0.05072642564976922
parse	common48	48	CellOT	raw_state	2	0.050435110850368815
parse	common48	48	CellOT	raw_state	3	0.05014083670942612
parse	common48	48	CellOT	raw_state	4	0.05449313750874211
parse	common48	48	CellOT	raw_state	5	0.05522188772770143
parse	common48	48	CellOT	raw_state	6	0.05375672853627043
parse	common48	48	CellOT	raw_state	7	0.05074186038571053
parse	common48	48	CellOT	input_centered_effect	0	0.17297283417620948
parse	common48	48	CellOT	input_centered_effect	1	0.18207848257813905
parse	common48	48	CellOT	input_centered_effect	2	0.17415907455080495
parse	common48	48	CellOT	input_centered_effect	3	0.17367613043901764
parse	common48	48	CellOT	input_centered_effect	4	0.18053248685481404
parse	common48	48	CellOT	input_centered_effect	5	0.17998426062857678
parse	common48	48	CellOT	input_centered_effect	6	0.17566552124225396
parse	common48	48	CellOT	input_centered_effect	7	0.18025178386302695
parse	common48	48	CellOT	reference	0	0.18015913714842088
parse	common48	48	CellOT	reference	1	0.1880274111763369
parse	common48	48	CellOT	reference	2	0.18035242758737655
parse	common48	48	CellOT	reference	3	0.17999923333013756
parse	common48	48	CellOT	reference	4	0.1872899039794497
parse	common48	48	CellOT	reference	5	0.18726647727376414
parse	common48	48	CellOT	reference	6	0.18288274708271757
parse	common48	48	CellOT	reference	7	0.18629664812208066
parse	common48	48	CellOT	D_to_O	0	0.002710903683166916
parse	common48	48	CellOT	D_to_O	1	0.002387451897862067
parse	common48	48	CellOT	D_to_O	2	0.002369657647098993
parse	common48	48	CellOT	D_to_O	3	0.00237521461073543
parse	common48	48	CellOT	D_to_O	4	0.0027275156795671714
parse	common48	48	CellOT	D_to_O	5	0.002861928160602968
parse	common48	48	CellOT	D_to_O	6	0.0027387548451660985
parse	common48	48	CellOT	D_to_O	7	0.002395235955292357
parse	common48	48	CellOT	D_to_P	0	-0.0027109036831389753
parse	common48	48	CellOT	D_to_P	1	-0.0023874518977930834
parse	common48	48	CellOT	D_to_P	2	-0.002369657647096452
parse	common48	48	CellOT	D_to_P	3	-0.0023752146106508845
parse	common48	48	CellOT	D_to_P	4	-0.002727515679564582
parse	common48	48	CellOT	D_to_P	5	-0.00286192816065192
parse	common48	48	CellOT	D_to_P	6	-0.002738754845189779
parse	common48	48	CellOT	D_to_P	7	-0.0023952359553805055
parse	common48	48	CellOT	S_to_M	0	-2.0124376702105686e-14
parse	common48	48	CellOT	S_to_M	1	-2.269456266431232e-14
parse	common48	48	CellOT	S_to_M	2	8.18954163743039e-15
parse	common48	48	CellOT	S_to_M	3	-1.1034183983182899e-13
parse	common48	48	CellOT	S_to_M	4	-1.538458596628267e-14
parse	common48	48	CellOT	S_to_M	5	4.231956336290625e-14
parse	common48	48	CellOT	S_to_M	6	5.550143677979237e-15
parse	common48	48	CellOT	S_to_M	7	8.928696439610326e-14
parse	common128	48	scGen	raw_state	0	0.04591055624645214
parse	common128	48	scGen	raw_state	1	0.04239706000002901
parse	common128	48	scGen	raw_state	2	0.04287598788056428
parse	common128	48	scGen	raw_state	3	0.04277109350808097
parse	common128	48	scGen	raw_state	4	0.045275275934021225
parse	common128	48	scGen	raw_state	5	0.04689617936245372
parse	common128	48	scGen	raw_state	6	0.04599744722338499
parse	common128	48	scGen	raw_state	7	0.04275206954498004
parse	common128	48	scGen	input_centered_effect	0	0.172251639214782
