allocation	depth_per_gemgroup	cells_per_reference	model	pattern	scaled_squared_error
4	32	256	CPA_0.8.8	M	0.074715837355228201
4	32	256	CPA_0.8.8	P	0.082522982036831588
4	32	256	CPA_0.8.8	O	0.081389804375478825
4	32	256	CPA_0.8.8	D	0.081956393206155193
4	32	256	zero_effect	S	0.10775420626235251
4	32	256	zero_effect	M	0.10775420626235252
4	32	256	zero_effect	P	0.10775420626235252
4	32	256	zero_effect	O	0.10775420626235252
4	32	256	zero_effect	D	0.10775420626235252
4	64	512	additive	S	0.026195167136201958
4	64	512	additive	M	0.026195167136201958
4	64	512	additive	P	0.029784253354749858
4	64	512	additive	O	0.029784253354749858
4	64	512	additive	D	0.029784253354749858
4	64	512	compositional_ridge	S	0.025403931071276635
4	64	512	compositional_ridge	M	0.025403931071276635
4	64	512	compositional_ridge	P	0.028993017289824535
4	64	512	compositional_ridge	O	0.028993017289824535
4	64	512	compositional_ridge	D	0.028993017289824535
4	64	512	CPA_0.8.8	S	0.074979277612036155
4	64	512	CPA_0.8.8	M	0.074979277612036155
4	64	512	CPA_0.8.8	P	0.078723165862645661
4	64	512	CPA_0.8.8	O	0.078413561798522421
4	64	512	CPA_0.8.8	D	0.078568363830584048
4	64	512	zero_effect	S	0.10559902729241831
4	64	512	zero_effect	M	0.10559902729241831
4	64	512	zero_effect	P	0.10559902729241831
4	64	512	zero_effect	O	0.10559902729241831
4	64	512	zero_effect	D	0.10559902729241831
4	128	1024	additive	S	0.026195167136201958
4	128	1024	additive	M	0.026195167136201958
4	128	1024	additive	P	0.028069232968176157
4	128	1024	additive	O	0.028069232968176157
4	128	1024	additive	D	0.028069232968176157
4	128	1024	compositional_ridge	S	0.025403931071276635
4	128	1024	compositional_ridge	M	0.025403931071276635
4	128	1024	compositional_ridge	P	0.027277996903250844
4	128	1024	compositional_ridge	O	0.027277996903250844
4	128	1024	compositional_ridge	D	0.027277996903250844
4	128	1024	CPA_0.8.8	S	0.074076607833828675
